COVERAGE VIOLATION REPORT
================================================================================
Total demand pairs checked: 38186
Total violations: 38186
Overall violation ratio: 1.000000

Per-slot summary:
 slot  demand_pairs  violations  violation_ratio
 1064            25          25              1.0
 1065            24          24              1.0
 1066            28          28              1.0
 1067            40          40              1.0
 1068            41          41              1.0
 1069            41          41              1.0
 1070            29          29              1.0
 1071            34          34              1.0
 1072            26          26              1.0
 1073            20          20              1.0
 1074            32          32              1.0
 1075            37          37              1.0
 1076            35          35              1.0
 1077            39          39              1.0
 1078            49          49              1.0
 1079            29          29              1.0
 1080            33          33              1.0
 1081            49          49              1.0
 1082            50          50              1.0
 1083            48          48              1.0
 1084            42          42              1.0
 1085            36          36              1.0
 1086            33          33              1.0
 1087            34          34              1.0
 1088            51          51              1.0
 1089            47          47              1.0
 1090            60          60              1.0
 1091            47          47              1.0
 1092            45          45              1.0
 1093            46          46              1.0
 1094            39          39              1.0
 1095            57          57              1.0
 1096            58          58              1.0
 1097            66          66              1.0
 1098            66          66              1.0
 1099            57          57              1.0
 1100            60          60              1.0
 1101            56          56              1.0
 1102            71          71              1.0
 1103            58          58              1.0
 1104            51          51              1.0
 1105            43          43              1.0
 1106            97          97              1.0
 1107            77          77              1.0
 1108            32          32              1.0
 1109            29          29              1.0
 1110            58          58              1.0
 1111            73          73              1.0
 1112            65          65              1.0
 1113            65          65              1.0
 1114            64          64              1.0
 1115            63          63              1.0
 1116            55          55              1.0
 1117            56          56              1.0
 1118            71          71              1.0
 1119            68          68              1.0
 1120            59          59              1.0
 1121            58          58              1.0
 1122            48          48              1.0
 1123            46          46              1.0
 1124            44          44              1.0
 1125            58          58              1.0
 1126            69          69              1.0
 1127            58          58              1.0
 1128            54          54              1.0
 1129            46          46              1.0
 1130            43          43              1.0
 1131            50          50              1.0
 1132            61          61              1.0
 1133            54          54              1.0
 1134            61          61              1.0
 1135            67          67              1.0
 1136            61          61              1.0
 1137            47          47              1.0
 1138            51          51              1.0
 1139            50          50              1.0
 1140            59          59              1.0
 1141            68          68              1.0
 1142            63          63              1.0
 1143            60          60              1.0
 1144            42          42              1.0
 1145            59          59              1.0
 1146            60          60              1.0
 1147            60          60              1.0
 1148            63          63              1.0
 1149            59          59              1.0
 1150            47          47              1.0
 1151            45          45              1.0
 1152            43          43              1.0
 1153            61          61              1.0
 1154            46          46              1.0
 1155            47          47              1.0
 1156            55          55              1.0
 1157            46          46              1.0
 1158            41          41              1.0
 1159            43          43              1.0
 1160            64          64              1.0
 1161            59          59              1.0
 1162            55          55              1.0
 1163            56          56              1.0
 1164            53          53              1.0
 1165            37          37              1.0
 1166            37          37              1.0
 1167            55          55              1.0
 1168            65          65              1.0
 1169            53          53              1.0
 1170            56          56              1.0
 1171            44          44              1.0
 1172            47          47              1.0
 1173            37          37              1.0
 1174            47          47              1.0
 1175            37          37              1.0
 1176            24          24              1.0
 1177            52          52              1.0
 1178            39          39              1.0
 1179            34          34              1.0
 1180            70          70              1.0
 1181            62          62              1.0
 1182            82          82              1.0
 1183            48          48              1.0
 1184            43          43              1.0
 1185            36          36              1.0
 1186            31          31              1.0
 1187            53          53              1.0
 1188            62          62              1.0
 1189            65          65              1.0
